date,symbol,series,isin,open,high,low,close,volume,turnover
2010-09-29,BAJFINANCE,,,780,805,770,774.6,26000,20369029.1
2010-09-30,BAJFINANCE,,,775,783.45,766.25,773.55,17350,13434686.25
2010-10-01,BAJFINANCE,,,763,797.3,760.25,774.95,35941,28041955.8
2010-10-04,BAJFINANCE,,,788,795,775,783.4,31160,24519305.25
2010-10-05,BAJFINANCE,,,775.1,788,772.05,779,32141,25031172.6
2010-10-06,BAJFINANCE,,,812,812,773,799.45,69177,55132177.9
2010-10-07,BAJFINANCE,,,791,807,778.2,783.85,38093,30335235.6
2010-10-08,BAJFINANCE,,,780,799,776.55,779.25,20060,15730440.9
2010-10-11,BAJFINANCE,,,782.5,798,782.5,793.65,16798,13334333.65
2010-10-12,BAJFINANCE,,,782.1,803.95,782.1,798.15,22402,17769739.75
2010-10-13,BAJFINANCE,,,791,805,791,797.6,36541,29216753.05
2010-10-14,BAJFINANCE,,,798,807,798,805.4,47108,37872126.3
2010-10-15,BAJFINANCE,,,795,806,782.05,784.9,14809,11740839.45
2010-10-18,BAJFINANCE,,,799,799,745,759.95,64137,49038191.15
2010-10-19,BAJFINANCE,,,775,775,747,751.2,52109,39746941.65
2010-10-20,BAJFINANCE,,,760,775,757,765.8,26636,20462442.85
2010-10-21,BAJFINANCE,,,770,774,768,771.6,24106,18583003.8
2010-10-22,BAJFINANCE,,,777,777,770,772.9,8814,6810001.9
2010-10-25,BAJFINANCE,,,772,797.25,770,791.2,18209,14338078
2010-10-26,BAJFINANCE,,,788,797.9,775.2,783.95,8898,7023637.35
2010-10-27,BAJFINANCE,,,784.2,789.85,770,777.35,7409,5775392.65
2010-10-28,BAJFINANCE,,,771,780,770.1,770.6,5769,4470513.35
2010-10-29,BAJFINANCE,,,768.45,790,739.8,774.45,36854,28267062.4
2010-11-01,BAJFINANCE,,,790,801,781.5,798.6,22483,17879454.3
2010-11-02,BAJFINANCE,,,805,838,799,806.4,158531,130217391.4
2010-11-03,BAJFINANCE,,,810,818.65,795,799.25,21687,17489926.1
2010-11-04,BAJFINANCE,,,785.5,811.8,785.5,810.3,16533,13377860.05
2010-11-05,BAJFINANCE,,,812,820,805,811.9,7313,5941668.85
2010-11-08,BAJFINANCE,,,811.95,817,801.55,809.15,13274,10738662.2
2010-11-09,BAJFINANCE,,,803,828,803,815.8,34403,27976584.75
2010-11-10,BAJFINANCE,,,810,823.9,808,809.9,24918,20261310.8
2010-11-11,BAJFINANCE,,,812,814,786,795.9,39459,31543220.25
2010-11-12,BAJFINANCE,,,795.9,798,775.1,782.75,35124,27647023.6
2010-11-15,BAJFINANCE,,,778,799.9,778,781.55,21302,16726554.95
2010-11-16,BAJFINANCE,,,780.1,794.85,751.1,778.6,35834,27650064.65
2010-11-18,BAJFINANCE,,,798,798,736,772.3,16263,12371745.3
2010-11-19,BAJFINANCE,,,769.95,786.9,750.15,761.6,14753,11208976.3
2010-11-22,BAJFINANCE,,,760,776,752,763.85,10724,8135123.35
2010-11-23,BAJFINANCE,,,765,772,753,764.2,11373,8664163.55
2010-11-24,BAJFINANCE,,,757,774.55,755,758.55,8722,6690658.5
2010-11-25,BAJFINANCE,,,761,761,725.05,734.65,18648,13811759.8
