date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-01-04,ICICIBANK,INE090A01013,,877.0,885.0,875.0,879.7,1665852,1466228891.9,0.1539311447191922,135.41322800947339
2010-01-05,ICICIBANK,INE090A01013,,888.0,899.75,881.5,888.05,2665454,2368571770.6,0.1539311447191922,136.69855306787863
2010-01-06,ICICIBANK,INE090A01013,,895.0,907.35,890.1,894.85,3710919,3338141818.7,0.1539311447191922,137.74528485196913
2010-01-07,ICICIBANK,INE090A01013,,896.75,896.75,876.5,886.4,1973143,1744296781.4,0.1539311447191922,136.44456667909196
2010-01-08,ICICIBANK,INE090A01013,,889.1,890.0,871.0,873.95,3741988,3282861380.75,0.1539311447191922,134.52812392733802
2010-01-11,ICICIBANK,INE090A01013,,878.0,881.8,865.95,869.4,3306304,2890135512.85,0.1539311447191922,133.8277372188657
2010-01-12,ICICIBANK,INE090A01013,,869.4,872.0,840.0,842.75,4142170,3526622598.85,0.1539311447191922,129.72547221209922
2010-01-13,ICICIBANK,INE090A01013,,821.65,844.2,821.65,840.65,5760883,4791167305.25,0.1539311447191922,129.4022168081889
2010-01-14,ICICIBANK,INE090A01013,,847.0,861.0,831.2,835.3,6156026,5225416472.5,0.1539311447191922,128.57868518394125
2010-01-15,ICICIBANK,INE090A01013,,840.25,848.6,830.45,842.45,3549441,2983230639.35,0.1539311447191922,129.67929286868346
2010-01-18,ICICIBANK,INE090A01013,,834.0,868.8,830.3,863.35,4165370,3565431317.45,0.1539311447191922,132.89645379331458
2010-01-19,ICICIBANK,INE090A01013,,864.0,876.0,859.0,865.5,3782571,3285437809.95,0.1539311447191922,133.22740575446085
2010-01-20,ICICIBANK,INE090A01013,,869.8,884.6,868.95,877.95,4996526,4384609706.1,0.1539311447191922,135.1438485062148
2010-01-21,ICICIBANK,INE090A01013,,869.85,873.0,842.3,852.7,6132204,5240490688.45,0.1539311447191922,131.25708710205518
2010-01-22,ICICIBANK,INE090A01013,,829.0,847.0,820.85,840.7,5931119,4963801205.15,0.1539311447191922,129.4099133654249
2010-01-25,ICICIBANK,INE090A01013,,831.6,839.15,825.25,830.8,2884574,2396541900.05,0.1539311447191922,127.88599503270487
